"Adjusted P value","ID","Description","A & B","A","B","U"
"0.0193817644605439","GO:0007006","mitochondrial membrane organization","6","1023","12","10021"
"0.0303187875543392","GO:0044743","protein transmembrane import into intracellular organelle","6","1023","13","10021"
"0.0303187875543392","GO:0065002","intracellular protein transmembrane transport","6","1023","13","10021"
"0.00440887847832557","GO:0070585","protein localization to mitochondrion","7","1023","13","10021"
"0.0303187875543392","GO:0071806","protein transmembrane transport","6","1023","13","10021"
"0.00440887847832557","GO:0072655","establishment of protein localization to mitochondrion","7","1023","13","10021"
"0.0193817644605439","GO:0090151","establishment of protein localization to mitochondrial membrane","6","1023","12","10021"
"0.0193817644605439","GO:1990542","mitochondrial transmembrane transport","6","1023","12","10021"
"0.00262117524780781","GO:0005853","eukaryotic translation elongation factor 1 complex","5","1023","6","10021"
"6.8479827619208e-09","GO:0003746","translation elongation factor activity","15","1023","22","10021"
"0.00121943269336749","GO:0005730","nucleolus","6","1023","8","10021"
"0.0303483857039201","GO:0009098","leucine biosynthetic process","3","1023","3","10021"
"0.0303483857039201","GO:0006551","leucine metabolic process","3","1023","3","10021"
"0.00262117524780781","GO:0043022","ribosome binding","5","1023","6","10021"
"0.016576985869822","GO:0051130","positive regulation of cellular component organization","4","1023","5","10021"
"0.00734919069441519","GO:0043021","ribonucleoprotein complex binding","5","1023","7","10021"
"0.0303483857039201","GO:0005852","eukaryotic translation initiation factor 3 complex","3","1023","3","10021"
