"module","Adjusted.P.value","ID","Description","A...B","A","B","U"
1,5.39978796264702e-05,"GO:0034654","nucleobase-containing compound biosynthetic process",505,6592,681,10021
1,1.03492661849211e-09,"GO:0050794","regulation of cellular process",633,6592,829,10021
1,1.89096773727502e-09,"GO:0051171","regulation of nitrogen compound metabolic process",421,6592,535,10021
1,1.28149081152326e-09,"GO:0051252","regulation of RNA metabolic process",411,6592,520,10021
1,1.88911491340467e-09,"GO:0080090","regulation of primary metabolic process",437,6592,557,10021
1,3.4701658692704e-08,"GO:0097659","nucleic acid-templated transcription",456,6592,591,10021
1,1.20033114700655e-09,"GO:1903506","regulation of nucleic acid-templated transcription",409,6592,517,10021
1,1.94946175626394e-09,"GO:2000112","regulation of cellular macromolecule biosynthetic process",417,6592,530,10021
1,1.20033114700655e-09,"GO:2001141","regulation of RNA biosynthetic process",409,6592,517,10021
1,3.08158426854935e-09,"GO:0004674","protein serine/threonine kinase activity",383,6592,484,10021
1,0.000923730125352779,"GO:0003700","DNA-binding transcription factor activity",156,6592,196,10021
1,9.6222609660354e-05,"GO:0043565","sequence-specific DNA binding",142,6592,173,10021
1,0.00156223731472238,"GO:0007154","cell communication",187,6592,240,10021
1,0.0228083372327265,"GO:0051716","cellular response to stimulus",223,6592,298,10021
1,0.0228083372327265,"GO:0009725","response to hormone",24,6592,25,10021
1,0.0228083372327265,"GO:0009719","response to endogenous stimulus",24,6592,25,10021
1,0.0228083372327265,"GO:0010033","response to organic substance",24,6592,25,10021
1,0.0167873973831317,"GO:0042221","response to chemical",61,6592,72,10021
1,0.0200527202403302,"GO:0051704","multi-organism process",29,6592,31,10021
2,0.0105115159925021,"GO:0020037","heme binding",24,502,182,10021
2,0.0105115159925021,"GO:0046906","tetrapyrrole binding",24,502,183,10021
2,0.00508823817171485,"GO:0006952","defense response",16,502,84,10021
2,2.49786006214587e-07,"GO:0043531","ADP binding",24,502,100,10021
4,1.03903831314761e-06,"GO:0016491","oxidoreductase activity",65,349,848,10021
4,0.00261263980049823,"GO:0008152","metabolic process",214,349,4962,10021
4,0.0205557825362947,"GO:0008150","biological_process",254,349,6305,10021
4,1.03903831314761e-06,"GO:0003824","catalytic activity",219,349,4672,10021
4,0.00163257428676026,"GO:0044281","small molecule metabolic process",48,349,677,10021
4,0.0237290945171321,"GO:1901605","alpha-amino acid metabolic process",16,349,150,10021
4,0.0267207102880937,"GO:0008299","isoprenoid biosynthetic process",7,349,33,10021
4,0.0267207102880937,"GO:0006720","isoprenoid metabolic process",7,349,33,10021
4,0.0237290945171321,"GO:0005975","carbohydrate metabolic process",32,349,443,10021
4,0.0267207102880937,"GO:0006081","cellular aldehyde metabolic process",6,349,23,10021
4,0.0205557825362947,"GO:0009611","response to wounding",3,349,3,10021
4,0.0241492650046076,"GO:0006563","L-serine metabolic process",6,349,22,10021
4,0.00256183572656626,"GO:0009069","serine family amino acid metabolic process",8,349,28,10021
9,2.92400632623991e-05,"GO:0005622","intracellular anatomical structure",59,167,1907,10021
9,1.62557647628906e-10,"GO:0005575","cellular_component",94,167,3025,10021
9,0.0141524016285563,"GO:0005737","cytoplasm",29,167,896,10021
9,2.6657081369083e-12,"GO:0032991","protein-containing complex",47,167,828,10021
9,0.000292177563318886,"GO:0016787","hydrolase activity",47,167,1479,10021
9,0.0284392460220136,"GO:0016021","integral component of membrane",19,167,508,10021
9,0.00153868174606256,"GO:0012505","endomembrane system",10,167,122,10021
9,3.03992182463975e-10,"GO:0016020","membrane",56,167,1291,10021
9,0.0339637155526462,"GO:0031224","intrinsic component of membrane",19,167,519,10021
9,0.00069265685945756,"GO:0017111","nucleoside-triphosphatase activity",21,167,444,10021
9,0.001016956554253,"GO:0016462","pyrophosphatase activity",21,167,456,10021
9,0.000189144769025644,"GO:0016817","hydrolase activity, acting on acid anhydrides",23,167,470,10021
9,0.00114429352562017,"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",21,167,461,10021
9,2.98432209699669e-19,"GO:0015031","protein transport",32,167,211,10021
9,8.38390763211276e-19,"GO:0008104","protein localization",32,167,222,10021
9,2.29765951622728e-15,"GO:0006810","transport",55,167,935,10021
9,8.7938838973605e-17,"GO:0033036","macromolecule localization",32,167,260,10021
9,4.11802413176266e-19,"GO:0045184","establishment of protein localization",32,167,216,10021
9,3.44187596123642e-15,"GO:0051179","localization",55,167,946,10021
9,2.74271028945968e-15,"GO:0051234","establishment of localization",55,167,940,10021
9,5.27963999066664e-16,"GO:0071702","organic substance transport",34,167,321,10021
9,0.0218161937209738,"GO:0005215","transporter activity",19,167,496,10021
9,2.78461658564654e-05,"GO:0006508","proteolysis",20,167,323,10021
9,2.13844451624066e-09,"GO:0004175","endopeptidase activity",20,167,184,10021
9,6.65476363030484e-07,"GO:0008233","peptidase activity",21,167,282,10021
9,1.69061862150127e-10,"GO:0009056","catabolic process",24,167,243,10021
9,6.58046253759907e-11,"GO:1901575","organic substance catabolic process",24,167,232,10021
9,0.0311669369404926,"GO:0030234","enzyme regulator activity",6,167,68,10021
9,0.0407485070783454,"GO:0098772","molecular function regulator",6,167,72,10021
9,8.88553149403793e-16,"GO:0009057","macromolecule catabolic process",24,167,139,10021
9,3.33501710340718e-08,"GO:0044248","cellular catabolic process",17,167,149,10021
9,6.11302856830082e-11,"GO:0044265","cellular macromolecule catabolic process",17,167,100,10021
9,0.0162759401847042,"GO:0008324","cation transmembrane transporter activity",10,167,165,10021
9,0.0231541811599509,"GO:0031090","organelle membrane",9,167,143,10021
9,0.0339637155526462,"GO:0098588","bounding membrane of organelle",7,167,95,10021
9,4.09927497954545e-14,"GO:0098796","membrane protein complex",23,167,149,10021
9,3.76126174673499e-14,"GO:0034613","cellular protein localization",24,167,165,10021
9,7.64723601808702e-16,"GO:0051641","cellular localization",29,167,223,10021
9,3.76126174673499e-14,"GO:0070727","cellular macromolecule localization",24,167,165,10021
9,0.000189144769025644,"GO:0006511","ubiquitin-dependent protein catabolic process",9,167,73,10021
9,0.000189144769025644,"GO:0019941","modification-dependent protein catabolic process",9,167,73,10021
9,2.58834048198903e-12,"GO:0051603","proteolysis involved in cellular protein catabolic process",17,167,83,10021
9,1.80608747281471e-18,"GO:0030163","protein catabolic process",24,167,106,10021
9,0.000189144769025644,"GO:0043632","modification-dependent macromolecule catabolic process",9,167,73,10021
9,2.58834048198903e-12,"GO:0044257","cellular protein catabolic process",17,167,83,10021
9,8.14795192319116e-15,"GO:0006886","intracellular protein transport",24,167,154,10021
9,4.49250037443581e-13,"GO:0016192","vesicle-mediated transport",21,167,132,10021
9,3.96977309658054e-16,"GO:0046907","intracellular transport",27,167,181,10021
9,2.40180859061276e-16,"GO:0051649","establishment of localization in cell",29,167,212,10021
9,0.0294705221937725,"GO:0006913","nucleocytoplasmic transport",4,167,26,10021
9,0.0311669369404926,"GO:0007264","small GTPase mediated signal transduction",6,167,68,10021
9,0.0294705221937725,"GO:0016482","cytosolic transport",6,167,67,10021
9,0.0294705221937725,"GO:0051169","nuclear transport",4,167,26,10021
9,0.00825631026677196,"GO:0034220","ion transmembrane transport",8,167,97,10021
9,0.0203396288847058,"GO:0022890","inorganic cation transmembrane transporter activity",9,167,140,10021
9,0.00768916019945255,"GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain",4,167,18,10021
9,6.86564608941659e-06,"GO:0015988","energy coupled proton transmembrane transport, against electrochemical gradient",7,167,24,10021
9,0.00293789126889071,"GO:0098655","cation transmembrane transport",8,167,83,10021
9,0.0031572141263609,"GO:0098660","inorganic ion transmembrane transport",8,167,84,10021
9,0.00293789126889071,"GO:0098662","inorganic cation transmembrane transport",8,167,83,10021
9,7.97561179513918e-06,"GO:1902600","proton transmembrane transport",8,167,36,10021
9,2.47560948025378e-07,"GO:0016469","proton-transporting two-sector ATPase complex",9,167,34,10021
9,6.77764438440739e-05,"GO:0015078","proton transmembrane transporter activity",9,167,64,10021
9,2.96655593624727e-10,"GO:0030117","membrane coat",12,167,43,10021
9,0.00028360713652617,"GO:0030126","COPI vesicle coat",4,167,8,10021
9,2.96655593624727e-10,"GO:0048475","coated membrane",12,167,43,10021
9,0.000176237274847578,"GO:0000139","Golgi membrane",6,167,25,10021
9,0.000419913100444488,"GO:0005794","Golgi apparatus",6,167,30,10021
9,1.04628537372547e-05,"GO:0005798","Golgi-associated vesicle",5,167,9,10021
9,0.00028360713652617,"GO:0030137","COPI-coated vesicle",4,167,8,10021
9,0.000328238882048866,"GO:0012506","vesicle membrane",5,167,17,10021
9,0.000328238882048866,"GO:0030120","vesicle coat",5,167,17,10021
9,0.000328238882048866,"GO:0030135","coated vesicle",5,167,17,10021
9,0.000328238882048866,"GO:0030659","cytoplasmic vesicle membrane",5,167,17,10021
9,1.04628537372547e-05,"GO:0030660","Golgi-associated vesicle membrane",5,167,9,10021
9,0.000328238882048866,"GO:0030662","coated vesicle membrane",5,167,17,10021
9,0.00028360713652617,"GO:0030663","COPI-coated vesicle membrane",4,167,8,10021
9,0.000419913100444488,"GO:0031410","cytoplasmic vesicle",5,167,18,10021
9,0.000419913100444488,"GO:0031982","vesicle",5,167,18,10021
9,0.00366439611969314,"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",4,167,15,10021
9,0.0062226970521391,"GO:0033179","proton-transporting V-type ATPase, V0 domain",3,167,7,10021
9,1.0379436271818e-05,"GO:0033176","proton-transporting V-type ATPase complex",6,167,16,10021
9,0.001016956554253,"GO:0030131","clathrin adaptor complex",4,167,11,10021
9,0.001016956554253,"GO:0030119","AP-type membrane coat adaptor complex",4,167,11,10021
9,0.000419913100444488,"GO:0030118","clathrin coat",5,167,18,10021
9,2.98432209699669e-19,"GO:0005839","proteasome core complex",15,167,23,10021
9,4.31382414200043e-08,"GO:0019773","proteasome core complex, alpha-subunit complex",7,167,13,10021
9,2.98432209699669e-19,"GO:0004298","threonine-type endopeptidase activity",15,167,23,10021
9,7.78558672067673e-20,"GO:0000502","proteasome complex",17,167,30,10021
9,2.98432209699669e-19,"GO:0070003","threonine-type peptidase activity",15,167,23,10021
9,0.010760309333306,"GO:0030132","clathrin coat of coated pit",2,167,2,10021
9,0.010760309333306,"GO:0005905","clathrin-coated pit",2,167,2,10021
25,1.45148959794575e-08,"GO:0006457","protein folding",12,45,165,10021
25,5.89817965028692e-08,"GO:0051082","unfolded protein binding",10,45,110,10021
25,0.0161033650643432,"GO:0051087","chaperone binding",3,45,15,10021
25,6.43197100332061e-05,"GO:0001671","ATPase activator activity",3,45,3,10021
25,6.43197100332061e-05,"GO:0008047","enzyme activator activity",3,45,3,10021
25,0.00689922037356319,"GO:0060589","nucleoside-triphosphatase regulator activity",3,45,11,10021
25,0.00177841166767311,"GO:0060590","ATPase regulator activity",3,45,7,10021
34,2.49704838993337e-53,"GO:0005622","intracellular anatomical structure",397,1023,1907,10021
34,2.70228095883807e-22,"GO:0005575","cellular_component",454,1023,3025,10021
34,1.27035675777252e-07,"GO:0008152","metabolic process",596,1023,4962,10021
34,1.4271312867745e-12,"GO:0003676","nucleic acid binding",238,1023,1483,10021
34,0.0261181382807533,"GO:0097159","organic cyclic compound binding",401,1023,3476,10021
34,0.0259642336534285,"GO:1901363","heterocyclic compound binding",401,1023,3475,10021
34,1.46801994862797e-134,"GO:0006412","translation",240,1023,408,10021
34,1.13417149300532e-125,"GO:0005840","ribosome",197,1023,293,10021
34,1.09496142880186e-10,"GO:0015935","small ribosomal subunit",16,1023,21,10021
34,9.77599941091632e-29,"GO:0003723","RNA binding",105,1023,310,10021
34,7.69168961083387e-125,"GO:0003735","structural constituent of ribosome",196,1023,292,10021
34,5.1326564697905e-131,"GO:0006518","peptide metabolic process",242,1023,427,10021
34,1.36405999469308e-62,"GO:0006807","nitrogen compound metabolic process",407,1023,1848,10021
34,2.23714957269679e-43,"GO:0009058","biosynthetic process",344,1023,1667,10021
34,4.30279275797158e-57,"GO:0009059","macromolecule biosynthetic process",293,1023,1135,10021
34,9.74094755286017e-14,"GO:0009987","cellular process",551,1023,4225,10021
34,3.59275997780263e-69,"GO:0010467","gene expression",315,1023,1148,10021
34,1.00180092865405e-37,"GO:0019538","protein metabolic process",344,1023,1761,10021
34,2.3487099554126e-67,"GO:0034641","cellular nitrogen compound metabolic process",388,1023,1650,10021
34,1.91651061909769e-57,"GO:0034645","cellular macromolecule biosynthetic process",293,1023,1131,10021
34,1.83779558182055e-132,"GO:0043043","peptide biosynthetic process",240,1023,415,10021
34,1.55846760037632e-30,"GO:0043170","macromolecule metabolic process",443,1023,2710,10021
34,1.54190702734501e-126,"GO:0043603","cellular amide metabolic process",245,1023,453,10021
34,2.29107527300174e-130,"GO:0043604","amide biosynthetic process",243,1023,433,10021
34,8.57086801452077e-25,"GO:0044237","cellular metabolic process",497,1023,3337,10021
34,9.15413010900788e-21,"GO:0044238","primary metabolic process",516,1023,3635,10021
34,3.28130053737659e-50,"GO:0044249","cellular biosynthetic process",341,1023,1544,10021
34,2.07698830982082e-32,"GO:0044260","cellular macromolecule metabolic process",416,1023,2439,10021
34,3.35040155841024e-40,"GO:0044267","cellular protein metabolic process",315,1023,1505,10021
34,5.38436850989081e-58,"GO:0044271","cellular nitrogen compound biosynthetic process",301,1023,1176,10021
34,1.27678736894771e-20,"GO:0071704","organic substance metabolic process",535,1023,3817,10021
34,2.54977678449048e-85,"GO:1901564","organonitrogen compound metabolic process",297,1023,906,10021
34,1.63748099451545e-106,"GO:1901566","organonitrogen compound biosynthetic process",282,1023,696,10021
34,4.93939575965001e-48,"GO:1901576","organic substance biosynthetic process",341,1023,1575,10021
34,2.01106011184892e-87,"GO:0005737","cytoplasm",298,1023,896,10021
34,6.57407077665345e-66,"GO:0032991","protein-containing complex",256,1023,828,10021
34,4.76464363153421e-65,"GO:0043226","organelle",298,1023,1084,10021
34,1.5462139090657e-101,"GO:0043228","non-membrane-bounded organelle",212,1023,416,10021
34,4.76464363153421e-65,"GO:0043229","intracellular organelle",298,1023,1084,10021
34,1.5462139090657e-101,"GO:0043232","intracellular non-membrane-bounded organelle",212,1023,416,10021
34,1.49137813666668e-20,"GO:0044391","ribosomal subunit",31,1023,42,10021
34,1.70914311507411e-108,"GO:0005198","structural molecule activity",198,1023,341,10021
34,0.00887799715186625,"GO:0006520","cellular amino acid metabolic process",43,1023,244,10021
34,0.0314148754963449,"GO:1901360","organic cyclic compound metabolic process",167,1023,1317,10021
34,0.000406611793837083,"GO:0044085","cellular component biogenesis",35,1023,159,10021
34,0.000551217955455109,"GO:0071840","cellular component organization or biogenesis",52,1023,279,10021
34,0.00614036569191386,"GO:0006139","nucleobase-containing compound metabolic process",156,1023,1169,10021
34,0.0261181382807533,"GO:0006725","cellular aromatic compound metabolic process",164,1023,1282,10021
34,0.0104559572197298,"GO:0046483","heterocycle metabolic process",167,1023,1280,10021
34,0.043151529341468,"GO:0090304","nucleic acid metabolic process",125,1023,955,10021
34,0.00496457470729826,"GO:0003924","GTPase activity",22,1023,93,10021
34,0.0353785536944809,"GO:0019001","guanyl nucleotide binding",31,1023,173,10021
34,2.6470696039083e-07,"GO:0006418","tRNA aminoacylation for protein translation",21,1023,50,10021
34,7.8485127455986e-10,"GO:0004812","aminoacyl-tRNA ligase activity",25,1023,54,10021
34,2.15461112155063e-07,"GO:0006399","tRNA metabolic process",27,1023,77,10021
34,6.10760261458858e-12,"GO:0034660","ncRNA metabolic process",41,1023,113,10021
34,2.6470696039083e-07,"GO:0043038","amino acid activation",21,1023,50,10021
34,2.6470696039083e-07,"GO:0043039","tRNA aminoacylation",21,1023,50,10021
34,2.14217740773947e-05,"GO:0016874","ligase activity",41,1023,178,10021
34,7.8485127455986e-10,"GO:0016875","ligase activity, forming carbon-oxygen bonds",25,1023,54,10021
34,2.4579524171139e-09,"GO:0015934","large ribosomal subunit",15,1023,21,10021
34,0.00894302694742735,"GO:0005739","mitochondrion",22,1023,97,10021
34,0.0314148754963449,"GO:0005740","mitochondrial envelope",18,1023,81,10021
34,0.00829361512073247,"GO:0031967","organelle envelope",21,1023,90,10021
34,0.0303187875543392,"GO:0031975","envelope",21,1023,100,10021
34,1.196323026923e-14,"GO:0006414","translational elongation",23,1023,32,10021
34,1.31722008454744e-07,"GO:0006396","RNA processing",38,1023,133,10021
34,0.0132571455299069,"GO:0003743","translation initiation factor activity",10,1023,29,10021
34,1.24064621971778e-08,"GO:0008135","translation factor activity, RNA binding",25,1023,60,10021
34,0.016576985869822,"GO:0006189","'de novo' IMP biosynthetic process",4,1023,5,10021
34,0.0389913466231204,"GO:0006164","purine nucleotide biosynthetic process",13,1023,51,10021
34,0.00262117524780781,"GO:0006188","IMP biosynthetic process",5,1023,6,10021
34,0.00262117524780781,"GO:0046040","IMP metabolic process",5,1023,6,10021
34,0.0372344256873722,"GO:0072522","purine-containing compound biosynthetic process",15,1023,63,10021
34,1.04699510119313e-05,"GO:0019843","rRNA binding",11,1023,18,10021
34,0.0121737485436329,"GO:0005741","mitochondrial outer membrane",7,1023,15,10021
34,0.000144728525465504,"GO:0019867","outer membrane",11,1023,22,10021
34,0.00298930416841225,"GO:0031968","organelle outer membrane",8,1023,16,10021
34,0.0233145140470231,"GO:0034062","5'-3' RNA polymerase activity",12,1023,42,10021
34,0.0121737485436329,"GO:0003899","DNA-directed 5'-3' RNA polymerase activity",12,1023,39,10021
34,0.0303483857039201,"GO:0009451","RNA modification",11,1023,38,10021
34,9.25900033867462e-05,"GO:0034470","ncRNA processing",18,1023,52,10021
34,6.81576567666567e-05,"GO:0016072","rRNA metabolic process",15,1023,37,10021
34,0.0303483857039201,"GO:0008097","5S rRNA binding",3,1023,3,10021
34,0.000687803944676097,"GO:0098798","mitochondrial protein-containing complex",10,1023,21,10021
34,3.79162899833502e-06,"GO:0006364","rRNA processing",14,1023,27,10021
34,4.7719726852718e-14,"GO:0042254","ribosome biogenesis",28,1023,49,10021
34,9.55225209121943e-14,"GO:0022613","ribonucleoprotein complex biogenesis",28,1023,50,10021
34,0.00260338122472012,"GO:0009082","branched-chain amino acid biosynthetic process",7,1023,12,10021
34,0.00440887847832557,"GO:0032040","small-subunit processome",4,1023,4,10021
34,0.016576985869822,"GO:0030684","preribosome",4,1023,5,10021
34,0.00440887847832557,"GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotransferase activity",4,1023,4,10021
34,5.85468883516107e-05,"GO:0004576","oligosaccharyl transferase activity",6,1023,6,10021
34,0.00440887847832557,"GO:0006626","protein targeting to mitochondrion",7,1023,13,10021
34,0.0121737485436329,"GO:0006839","mitochondrial transport",7,1023,15,10021
34,0.00440887847832557,"GO:0007005","mitochondrion organization",7,1023,13,10021
34,0.0193817644605439,"GO:0007006","mitochondrial membrane organization",6,1023,12,10021
34,0.0303187875543392,"GO:0044743","protein transmembrane import into intracellular organelle",6,1023,13,10021
34,0.0303187875543392,"GO:0065002","intracellular protein transmembrane transport",6,1023,13,10021
34,0.00440887847832557,"GO:0070585","protein localization to mitochondrion",7,1023,13,10021
34,0.0303187875543392,"GO:0071806","protein transmembrane transport",6,1023,13,10021
34,0.00440887847832557,"GO:0072655","establishment of protein localization to mitochondrion",7,1023,13,10021
34,0.0193817644605439,"GO:0090151","establishment of protein localization to mitochondrial membrane",6,1023,12,10021
34,0.0193817644605439,"GO:1990542","mitochondrial transmembrane transport",6,1023,12,10021
34,0.00262117524780781,"GO:0005853","eukaryotic translation elongation factor 1 complex",5,1023,6,10021
34,6.8479827619208e-09,"GO:0003746","translation elongation factor activity",15,1023,22,10021
34,0.00121943269336749,"GO:0005730","nucleolus",6,1023,8,10021
34,0.0303483857039201,"GO:0009098","leucine biosynthetic process",3,1023,3,10021
34,0.0303483857039201,"GO:0006551","leucine metabolic process",3,1023,3,10021
34,0.00262117524780781,"GO:0043022","ribosome binding",5,1023,6,10021
34,0.016576985869822,"GO:0051130","positive regulation of cellular component organization",4,1023,5,10021
34,0.00734919069441519,"GO:0043021","ribonucleoprotein complex binding",5,1023,7,10021
34,0.0303483857039201,"GO:0005852","eukaryotic translation initiation factor 3 complex",3,1023,3,10021
35,0.00334291935486292,"GO:0003824","catalytic activity",44,60,4672,10021
35,0.00147681005811177,"GO:0005975","carbohydrate metabolic process",12,60,443,10021
35,0.0364940327440026,"GO:0016757","transferase activity, transferring glycosyl groups",8,60,287,10021
35,3.89307153503705e-05,"GO:0008194","UDP-glycosyltransferase activity",7,60,73,10021
35,0.0358638640032844,"GO:0016758","transferase activity, transferring hexosyl groups",7,60,214,10021
35,1.3912574988433e-05,"GO:0005976","polysaccharide metabolic process",7,60,62,10021
35,0.000341836579311419,"GO:0044262","cellular carbohydrate metabolic process",7,60,101,10021
35,3.39588442819177e-05,"GO:0016051","carbohydrate biosynthetic process",7,60,71,10021
35,1.04387279382813e-05,"GO:0034637","cellular carbohydrate biosynthetic process",7,60,59,10021
35,1.71431004656488e-06,"GO:0000271","polysaccharide biosynthetic process",7,60,44,10021
35,3.177006780705e-06,"GO:0006073","cellular glucan metabolic process",7,60,49,10021
35,1.16830526347334e-06,"GO:0009250","glucan biosynthetic process",7,60,40,10021
35,1.71431004656488e-06,"GO:0033692","cellular polysaccharide biosynthetic process",7,60,44,10021
35,3.177006780705e-06,"GO:0044042","glucan metabolic process",7,60,49,10021
35,5.19628737439396e-06,"GO:0044264","cellular polysaccharide metabolic process",7,60,53,10021
35,5.86533262814272e-08,"GO:0051273","beta-glucan metabolic process",7,60,26,10021
35,5.16738187993119e-08,"GO:0051274","beta-glucan biosynthetic process",7,60,25,10021
35,3.96160343920075e-07,"GO:0035251","UDP-glucosyltransferase activity",7,60,34,10021
35,1.24649903875469e-06,"GO:0046527","glucosyltransferase activity",7,60,41,10021
35,3.61618329077132e-09,"GO:0030244","cellulose biosynthetic process",7,60,17,10021
35,1.81153860168025e-09,"GO:0016760","cellulose synthase (UDP-forming) activity",7,60,15,10021
35,4.4174874960906e-09,"GO:0030243","cellulose metabolic process",7,60,18,10021
35,1.81153860168025e-09,"GO:0016759","cellulose synthase activity",7,60,15,10021
35,0.0121907095620206,"GO:0051087","chaperone binding",3,60,15,10021
36,0.00546565619287891,"GO:0008152","metabolic process",25,28,4962,10021
36,0.000817377248073852,"GO:0003824","catalytic activity",26,28,4672,10021
36,0.0227698890856861,"GO:0016829","lyase activity",5,28,159,10021
36,0.00546565619287891,"GO:0016757","transferase activity, transferring glycosyl groups",7,28,287,10021
36,0.00225667366605881,"GO:0016758","transferase activity, transferring hexosyl groups",7,28,214,10021
36,0.0422836987217064,"GO:0009072","aromatic amino acid family metabolic process",3,28,40,10021
36,0.0227698890856861,"GO:0009813","flavonoid biosynthetic process",2,28,5,10021
36,0.0422836987217064,"GO:0016872","intramolecular lyase activity",2,28,8,10021
36,0.0227698890856861,"GO:0045430","chalcone isomerase activity",2,28,5,10021
36,0.0227698890856861,"GO:0009812","flavonoid metabolic process",2,28,5,10021
36,0.0422836987217064,"GO:0006559","L-phenylalanine catabolic process",2,28,8,10021
36,0.00529491982038742,"GO:0006558","L-phenylalanine metabolic process",3,28,14,10021
36,0.0422836987217064,"GO:0009074","aromatic amino acid family catabolic process",2,28,8,10021
36,0.00529491982038742,"GO:1902221","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",3,28,14,10021
36,0.0422836987217064,"GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process",2,28,8,10021
43,4.43429007568758e-05,"GO:0005622","intracellular anatomical structure",81,255,1907,10021
43,1.84705815062879e-08,"GO:0008152","metabolic process",176,255,4962,10021
43,0.00160838780845402,"GO:0008150","biological_process",191,255,6305,10021
43,9.19059711524077e-21,"GO:0006412","translation",53,255,408,10021
43,2.6690161129742e-09,"GO:0005840","ribosome",31,255,293,10021
43,5.85824722505172e-10,"GO:0003723","RNA binding",33,255,310,10021
43,2.62837330117554e-09,"GO:0003735","structural constituent of ribosome",31,255,292,10021
43,9.66225242229186e-21,"GO:0006518","peptide metabolic process",54,255,427,10021
43,3.16238798915684e-12,"GO:0006807","nitrogen compound metabolic process",99,255,1848,10021
43,1.29223655639554e-08,"GO:0009058","biosynthetic process",84,255,1667,10021
43,4.13818368160222e-06,"GO:0009059","macromolecule biosynthetic process",59,255,1135,10021
43,1.00897756497792e-06,"GO:0009987","cellular process",152,255,4225,10021
43,5.05767835671162e-09,"GO:0010467","gene expression",67,255,1148,10021
43,3.25193161135954e-07,"GO:0019538","protein metabolic process",83,255,1761,10021
43,3.77889313023174e-12,"GO:0034641","cellular nitrogen compound metabolic process",92,255,1650,10021
43,3.75383152195077e-06,"GO:0034645","cellular macromolecule biosynthetic process",59,255,1131,10021
43,1.38915365152846e-20,"GO:0043043","peptide biosynthetic process",53,255,415,10021
43,4.05870964004754e-05,"GO:0043170","macromolecule metabolic process",105,255,2710,10021
